星蕾TV-全球频道,#genre#
新加坡8频道,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
CNC新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
CHTV台湾台,http://pull.leshantangjt.com/live/playlist.m3u8
CGTN美国,http://live.cgtn.com/1000/prog_index.m3u8
CGTN法国,http://live.cgtn.com/1000f/prog_index.m3u8
CGTN俄罗斯,http://live.cgtn.com/1000r/prog_index.m3u8
CGTN拉丁美洲,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿拉伯半岛电视新闻网,http://live.cgtn.com/1000a/prog_index.m3u8
香港卫视HKS,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8
Astro双星,mitv://147.135.39.171:9906/5c4fcc4900021daf7eee5cd26e523e7e.ts
